Clubs (138),89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs (138)
Derby County,1. 10,1. 7,1. 11,1. 10,1. 13,1. 3,1. 15,1. 2,1. 3,1. 10,1. 9,1. 6,1. 12,1. 6,1. 9,1. 14,1. 11,1. 15,1. 19,2. 6,2. 5,2. 4,2. 6,2. 1,1. 7,1. 20,2. 1,1. 18,1. 21,2. 12,2. 14,2. 3,2. 3,2. 2,1. 12,1. 4,1. 6,1. 2,1. 6,1. 15,1. 7,1. 4,1. 6,1. 2,1. 4,1. 13,1. 6,1. 14,1. 4,1. 3,1. 11,1. 11,1. 17,1. 22,2. 18,2. 22,3. 2,3. 1,2. 16,2. 7,2. 18,2. 12,2. 16,2. 18,2. 13,2. 9,2. 8,2. 17,2. 18,2. 1,1. 4,1. 9,1. 1,1. 7,1. 3,1. 1,1. 4,1. 15,1. 12,1. 19,1. 21,2. 6,2. 16,2. 13,2. 20,3. 7,3. 3,2. 1,1. 15,1. 5,1. 16,1. 20,2. 3,2. 8,2. 6,2. 9,2. 2,1. 12,1. 9,1. 8,1. 16,1. 17,1. 19,2. 18,2. 20,2. 4,2. 20,2. 3,1. 20,2. 18,2. 14,2. 19,2. 12,2. 10,2. 3,2. 8,4. CH,Derby County
Notts County,1. 11,1. 10,1. 3,1. 8,1. 14,2. 3,2. 2,2. 10,2. 1,1. 13,1. 5,1. 15,1. 3,1. 13,1. 15,1. 13,1. 18,1. 16,1. 18,1. 18,1. 15,1. 9,1. 11,1. 16,1. 19,2. 1,1. 16,1. 21,2. 6,2. 13,2. 1,1. 10,1. 9,1. 22,2. 16,2. 15,2. 5,2. 22,3. 1,2. 16,2. 15,2. 18,2. 22,3. 9,3. 2,3. 11,3. 11,3. 12,3. 6,3. 11,3. 1,2. 17,2. 15,2. 19,2. 14,2. 7,2. 20,2. 20,2. 21,3. 23,4. 2,3. 5,3. 13,3. 7,3. 24,4. 13,4. 8,4. 20,4. 17,4. 19,4. 7,4. 1,3. 4,3. 2,2. 10,2. 14,2. 5,2. 8,2. 15,2. 6,2. 17,2. 2,1. 15,1. 15,1. 21,2. 20,3. 8,3. 7,3. 4,3. 9,3. 3,2. 4,1. 21,2. 17,2. 7,2. 24,3. 4,3. 24,4. 1,3. 16,3. 8,3. 8,3. 19,3. 15,3. 23,4. 19,4. 21,4. 13,4. 21,4. 19,4. 1,3. 19,3. 7,3. 12,3. 20,3. 21,4. L2,Notts County
Stoke,1. 12,1. 12,,1. 13,1. 7,1. 11,1. 14,1. 6,1. 13,1. 16,1. 12,1. 9,1. 16,1. 16,1. 6,1. 16,1. 12,1. 10,1. 20,2. 10,,,,(Stoke City),,,,2. 10,2. 20,2. 2,1. 21,2. 6,2. 20,2. 21,3. 1,2. 5,2. 6,2. 11,2. 11,2. 3,2. 1,1. 12,1. 10,1. 4,1. 10,1. 17,1. 7,1. 4,1. 15,1. 11,1. 19,1. 13,1. 20,1. 21,2. 11,2. 5,2. 13,2. 5,2. 11,2. 5,2. 17,2. 18,2. 8,2. 1,1. 17,1. 11,1. 10,1. 12,1. 18,1. 19,1. 9,1. 13,1. 17,1. 15,1. 5,1. 5,1. 12,1. 21,2. 7,2. 3,1. 18,1. 11,1. 18,1. 13,1. 18,1. 22,2. 10,2. 8,2. 11,2. 13,2. 24,3. 14,3. 4,3. 1,2. 10,2. 11,2. 4,2. 12,2. 23,3. 8,3. 6,3. 5,3. 5,2. 21,2. 11,2. 12,2. 13,2. 8,2. 2,1. 12,1. 11,1. 13,1. 14,1. 13,1. 9,1. 9,4. PL,Stoke City
Sunderland,,,1. 7,1. 1,1. 1,1. 2,1. 1,1. 5,1. 15,1. 2,1. 7,1. 3,1. 2,1. 1,1. 3,1. 6,1. 5,1. 14,1. 10,1. 16,1. 3,1. 8,1. 3,1. 8,1. 1,1. 7,1. 8,1. 5,1. 12,1. 12,1. 2,1. 3,1. 7,1. 3,1. 3,1. 15,1. 4,1. 9,1. 11,1. 13,1. 12,1. 6,1. 2,1. 1,1. 8,1. 8,1. 16,1. 9,1. 20,1. 8,1. 3,1. 12,1. 12,1. 9,1. 18,1. 4,1. 9,1. 20,1. 21,2. 15,2. 16,2. 6,2. 3,2. 3,2. 2,1. 15,1. 19,1. 17,1. 15,1. 17,1. 21,2. 13,2. 5,2. 6,2. 6,2. 4,2. 1,1. 20,2. 6,2. 4,2. 2,1. 17,1. 19,1. 16,1. 13,1. 21,2. 18,2. 20,3. 1,2. 11,2. 6,1. 19,2. 18,2. 21,2. 12,2. 20,2. 1,1. 18,2. 3,2. 1,1. 7,1. 7,1. 17,1. 20,2. 3,2. 1,1. 20,2. 1,1. 15,1. 16,1. 13,1. 10,1. 13,1. 17,1. 14,1. 16,4. PL,Sunderland
Darwen,,,,1. 14,2. 3,1. 15,2. 6,2. 9,2. 11,2. 15,2. 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darwen
Nottingham Forest,,,,,1. 10,1. 7,1. 7,1. 13,1. 11,1. 8,1. 11,1. 8,1. 4,1. 5,1. 10,1. 9,1. 16,1. 19,2. 1,1. 9,1. 14,1. 14,1. 20,2. 15,2. 17,2. 20,2. 18,2. 18,2. 18,2. 1,1. 20,1. 20,1. 22,2. 17,2. 5,2. 10,2. 11,2. 10,2. 17,2. 11,2. 5,2. 17,2. 9,2. 19,2. 18,2. 20,2. 20,2. 11,2. 19,2. 21,3. 4,3. 1,2. 4,2. 7,2. 4,2. 15,2. 7,2. 2,1. 10,1. 13,1. 20,1. 14,1. 19,1. 9,1. 13,1. 5,1. 18,1. 2,1. 11,1. 18,1. 15,1. 16,1. 21,2. 14,2. 7,2. 16,2. 8,2. 3,1. 1,1. 2,1. 5,1. 7,1. 12,1. 5,1. 3,1. 9,1. 8,1. 8,1. 3,1. 3,1. 9,1. 8,1. 8,1. 22,2. 2,1. 3,1. 9,1. 20,2. 1,1. 20,2. 14,2. 11,2. 16,2. 6,2. 14,2. 23,3. 7,3. 4,3. 2,2. 19,2. 3,2. 6,2. 19,2. 8,2. 11,2. 14,4. CH,Nottingham Forest
The Wednesday (1930 Sheffield Wednesday),,,,,1. 12,1. 12,1. 8,1. 7,1. 6,1. 5,1. 18,2. 1,1. 8,1. 9,1. 1,1. 1,1. 9,1. 3,1. 13,1. 5,1. 5,1. 11,1. 6,1. 5,1. 3,1. 18,1. 7,1. 22,2. 10,2. 10,2. 8,2. 8,2. 14,2. 1,1. 16,1. 14,1. 1,1. 1,1. 3,1. 3,1. 3,1. 11,1. 3,1. 20,1. 22,2. 17,2. 3,2. 20,2. 4,2. 8,2. 2,1. 21,2. 1,1. 18,1. 19,1. 22,2. 1,1. 14,1. 22,2. 1,1. 5,1. 2,1. 6,1. 6,1. 6,1. 8,1. 17,1. 11,1. 19,1. 15,1. 22,2. 15,2. 14,2. 10,2. 19,2. 22,3. 20,3. 8,3. 14,3. 14,3. 3,2. 10,2. 4,2. 6,2. 2,1. 8,1. 5,1. 13,1. 11,1. 16,1. 18,2. 3,1. 3,1. 7,1. 7,1. 13,1. 15,1. 7,1. 16,1. 12,1. 19,2. 17,2. 20,2. 22,3. 16,3. 5,2. 19,2. 9,2. 16,2. 12,2. 22,3. 15,3. 2,2. 18,2. 16,2. 13,4. CH,Sheffield Wednesday
Newton Heath (1903 Manchester United),,,,,1. 16,1. 16,2. 3,2. 6,2. 2,2. 4,2. 4,2. 4,2. 10,2. 15,2. 5,2. 3,2. 3,2. 2,1. 8,1. 1,1. 13,1. 5,1. 1,1. 13,1. 4,1. 14,1. 18,1. 12,1. 13,1. 22,2. 4,2. 14,2. 2,1. 9,1. 15,1. 18,1. 12,1. 17,1. 22,2. 12,2. 6,2. 20,2. 5,2. 1,1. 21,2. 2,1. 14,1. 2,1. 2,1. 2,1. 4,1. 2,1. 1,1. 8,1. 4,1. 5,1. 1,1. 1,1. 9,1. 2,1. 7,1. 7,1. 15,1. 19,1. 2,1. 1,1. 4,1. 1,1. 2,1. 11,1. 8,1. 8,1. 8,1. 18,1. 21,2. 1,1. 3,1. 6,1. 10,1. 9,1. 2,1. 8,1. 3,1. 3,1. 4,1. 4,1. 4,1. 11,1. 2,1. 11,1. 13,1. 6,1. 2,1. 1,1. 1,1. 2,1. 1,1. 1,1. 2,1. 1,1. 1,1. 1,1. 3,1. 1,1. 3,1. 3,1. 2,1. 1,1. 1,1. 1,1. 2,1. 1,1. 2,1. 1,1. 7,1. 4,4. PL,Manchester United
Small Heath (1906 Birmingham),,,,,2. 1,2. 2,1. 12,1. 15,2. 4,2. 6,2. 8,2. 3,2. 2,1. 17,2. 2,1. 11,1. 7,1. 7,1. 9,1. 20,2. 11,2. 20,2. 16,2. 12,2. 3,2. 14,2. 6,2. 3,2. 1,1. 18,1. 17,1. 14,1. 8,1. 14,1. 17,1. 11,1. 15,1. 11,1. 19,1. 9,1. 13,1. 20,1. 19,1. 12,1. 11,1. 18,1. 21,2. 3,2. 1,1. 17,1. 22,2. 4,2. 3,2. 6,2. 7,2. 1,1. 6,1. 12,1. 13,1. 9,1. 19,1. 19,1. 17,1. 20,1. 20,1. 22,2. 10,2. 10,2. 4,2. 7,2. 18,2. 9,2. 2,1. 10,1. 19,1. 17,1. 19,1. 13,1. 11,1. 21,2. 3,1. 13,1. 16,1. 17,1. 20,2. 2,1. 21,2. 19,2. 19,2. 23,3. 7,3. 12,3. 2,2. 19,2. 22,3. 1,2. 15,2. 10,2. 7,2. 4,2. 5,2. 5,2. 5,1. 13,1. 10,1. 12,1. 18,2. 2,1. 19,2. 2,1. 9,1. 18,2. 4,2. 12,2. 21,2. 10,4. CH,Birmingham City
Sheffield United,,,,,2. 2,1. 10,1. 6,1. 12,1. 2,1. 1,1. 16,1. 2,1. 14,1. 10,1. 4,1. 7,1. 6,1. 13,1. 4,1. 17,1. 12,1. 6,1. 9,1. 14,1. 15,1. 10,1. 6,1. 14,1. 20,1. 11,1. 10,1. 5,1. 14,1. 5,1. 8,1. 13,1. 11,1. 20,1. 15,1. 7,1. 10,1. 22,2. 11,2. 3,2. 7,2. 3,2. 2,1. 6,1. 12,1. 22,2. 3,2. 8,2. 11,2. 1,1. 20,1. 13,1. 22,2. 7,2. 6,2. 3,2. 4,2. 2,1. 5,1. 10,1. 12,1. 19,1. 9,1. 10,1. 21,2. 9,2. 6,2. 2,1. 10,1. 14,1. 13,1. 6,1. 22,2. 11,2. 12,2. 20,3. 12,3. 21,4. 1,3. 11,3. 3,2. 18,2. 7,2. 9,2. 21,3. 2,2. 2,1. 13,1. 9,1. 14,1. 20,2. 8,2. 9,2. 5,2. 6,2. 8,2. 16,2. 10,2. 13,2. 3,2. 8,2. 8,2. 2,1. 18,2. 9,2. 3,2. 8,2. 23,3. 3,3. 5,3. 7,3. 5,4. L1,Sheffield United
